position,complexity
10,7.67243
11,0.0422282
12,1.58972
13,0.00861313
14,2.32097
15,8.24793
16,2
17,7.67243
18,9.45943
19,2
20,8.65821
21,2
22,2
23,2
24,2
25,7.67243
26,2
27,2
28,0.0422282
29,0.0422282
30,0.0422282
31,0.0422282
32,0.0422282
33,0.0422282
34,0.0422282
35,0.0422282
36,0.0422282
37,0.0422282
38,0.0422282
39,3.45031
40,1.58972
41,0.0422282
42,0.596876
43,0.424592
44,2
45,0.0422282
46,0.0422282
47,0.0213737
48,0.0213737
49,0.00718356
50,2.58019
51,0.0422282
52,0.0422282
53,0.0422282
54,0.0422282
55,0.0422282
56,3.31333
57,2.31907
58,0.0422282
59,2.80122
60,0.0422282
61,0.0422282
62,0.00616098
63,0.00616098
64,0.00332291
65,0.00332291
66,0.00332291
67,1.19419
68,0.0043173
69,0.655254
70,2
71,0.0107531
72,1.00716
73,2.32049
74,0.639944
75,0.639944
76,2.16913
77,0.0213737
78,0.0213737
79,0.0213737
80,0.0213737
81,0.0213737
82,0.0213737
83,2.16913
84,0.596876
85,0.0213737
86,0.0213737
87,0.596876
88,0.0213737
89,0.0213737
90,0.0213737
91,0.0213737
92,0.0213737
93,0.0213737
94,0.0213737
95,0.0213737
96,0.0213737
97,0.0213737
98,0.0213737
99,1.00716
100,0.424592
101,0.0143078
102,0.596876
103,0.0213737
104,0.596876
105,0.596876
106,0.0213737
107,0.00718356
108,1.58735
109,0.0213737
110,0.596876
111,0.0213737
112,0.0213737
113,0.0143078
114,0.0143078
115,0.0143078
116,0.0143078
117,0.0107531
118,0.0107531
119,0.174521
120,1.00359
121,1.00359
122,0.0107531
123,1.46107
124,0.0107531
125,1.00359
126,0.0107531
127,0.0107531
128,0.0107531
129,0.0107531
130,0.0107531
131,0.0107531
132,0.0107531
133,0.0107531
134,0.0107531
135,0.0107531
136,0.0107531
137,0.0107531
138,0.590946
139,0.0107531
140,1.32409
141,0.0107531
142,1.70127
143,2.16953
144,0.0107531
145,2.16953
146,0.811973
